ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
18.2," Kartik Tyagi to Maxwell, out Caught by Markram!! Now Markram takes the catch at long-on. Fullish outside off, Maxwell hits it straight to Markram. He does not make a mistake. Maxwell c Markram b Kartik Tyagi 33(24) [4s-3 6s-2] ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Kartik Tyagi,out,out,Full,off side,long-on,,,"Catch out , markram",202254
18.1," Kartik Tyagi to Maxwell, 2 runs, very full on the stumps, crashed down to long-on, Markram runs and slides to field and then throws it back to Tripathi at long-off. Saved two ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Kartik Tyagi,2,0,Full,stump line,long-on,,,,202254
18.1," Kartik Tyagi to Maxwell, no ball, edged but short of Pooran, Kartik Tyagi has overstepped though. That is poor. Length ball outside off, Maxwell drives and edges it ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Kartik Tyagi,no ball,1,Short,off side,,edge,,,202254
17.6," Bhuvneshwar to Maxwell, 1 run, very full and Maxwell goes deep to whip that to deep mid-wicket ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Bhuvneshwar,1,0,Full,,mid-wicket,,,,202254
17.5," Bhuvneshwar to du Plessis, 1 run, low full-toss on the stumps, du Plessis edges the big hit onto the pad, takes the single ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,du Plessis, Bhuvneshwar,1,0,Full toss,stump line,,edge,,,202254
17.4," Bhuvneshwar to du Plessis, no run, fine delivery. The yorker speared in between du Plessis's flick and the stumps, a dot ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,du Plessis, Bhuvneshwar,0,0,yorker,,,flick shot,,,202254
17.3," Bhuvneshwar to du Plessis, FOUR, four more to fine-leg. Nothing can be done about that. du Plessis has a smile looking at the toe of his bat, very full outside leg, du Plessis inside-edges it wide of Pooran ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,du Plessis, Bhuvneshwar,4,0,Full,leg side,,edge,,,202254
17.2," Bhuvneshwar to Maxwell, 1 run, full and angling in, Maxwell whips it to deep mid-wicket ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Bhuvneshwar,1,0,Full,,mid-wicket,,,,202254
17.1," Bhuvneshwar to Maxwell, FOUR, poor ball and Umran Malik at fine-leg does badly too, full down leg, flicked to the left of Umran who runs and then sloppily lets it go wide of his hands ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Bhuvneshwar,4,0,Full,wide,,flick shot,,,202254
16.6," Fazalhaq Farooqi to Maxwell, 1 run, Maxwell turns into a left-hander but this off-pace short ball on the stumps, causes him problems, he gloves the shot to short third man and takes the single ",1st Inns,54th,Sunrisers Hyderabad,Royal Challengers Bangalore,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Jagadeesha Suchith, Kartik Tyagi, Bhuvneshwar Kumar, Fazalhaq Farooqi, Umran Malik","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Mahipal Lomror, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood",,,IPL,2022,"Wankhede Stadium,Mumbai","May 08,2022",Royal Challengers Bangalore have won the toss and have opted to bat,Royal Challengers Bangalore won by 67 runs,Wanindu Hasaranga,RCB,bat,RCB,SRH,Maxwell, Fazalhaq Farooqi,1,0,Short,stump line,short third man,,,,202254
