ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
18.3," Bhuvneshwar to Russell, no run, superb yorker from Bhuvneshwar! Pitches outside leg and hits Russell low in front of leg stump as he swipes and misses ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.3," Bhuvneshwar to Russell, wide, tries the slower ball bumper and it slips well over the tramline outside off, Russell cuts and misses ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.2," Bhuvneshwar to Russell, 2 runs, 135ks too full outside off, Russell biffs the drive through extra cover and the fielder in the deep does well to keep it down to a couple with a diving effort ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
18.1," Bhuvneshwar to Billings, leg byes, 1 run, was that the knuckle ball? Looked like it. Does Billings for lack of pace (beats him on the slog) and hits the pad as the ball deflects into the off-side ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.6," T Natarajan to Russell, no run, another yorker that nutmegs the batter. Russell was loading up to big on the leg-side but couldn't quite get under it ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.5," T Natarajan to Billings, 1 run, 127ks dug into the surface and angling into the body, Billings charges forward and drags the pull towards deep mid-wicket ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.4," T Natarajan to Billings, SIX, 136ks a tad too full in the outside off slot, Billings clears his front leg and smokes it flat and straight over mid-off for a 77-metre maximum ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.3," T Natarajan to Billings, no run, lands this in the blockhole outside leg stump and nutmegs Billings' attempted slog on the leg-side ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.2," T Natarajan to Russell, 1 run, slower short ball angled into the body, Russell swivels and powers the pull to the right of deep mid-wicket ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
17.1," T Natarajan to Billings, 1 run, looks for the yorker and goes full around leg-stump, Billings looks to scoop/paddle it over short fine and manages a tiny inside edge onto pad that deflects wide of the keeper to his left ",1st Inns,61s,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Ajinkya Rahane, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Rinku Singh, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Varun Chakaravarthy","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, T Natarajan, Umran Malik",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","May 14,2022",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 54 runs,Andre Russell,KKR,bat
