ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
18.2," Hasaranga to Uthappa, leg byes, 1 run, tries the reverse sweep and misses, the ball goes to the off-side off the thigh pad ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
18.1," Hasaranga to Uthappa, SIX, Uthappa loves smacking the spinners and Hasaranga is in the firing line. Steps out and picks the googly, plays a stunning flat-hit over the bowler's head. He is only a couple of hits away from a hundred now ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.6," Akash Deep to Uthappa, 1 run, oh he swings hard and mistimes the full toss along the ground to deep mid-wicket ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.6," Akash Deep to Uthappa, wide, again a wide yorker attempt goes for a wide. 150 partnership ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.6," Akash Deep to Uthappa, wide, another off-side wide ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.6," Akash Deep to Uthappa, wide, oh called a wide. Is that Harsh? Uthappa moved a long way across and that is what DK and the bowler were suggesting but the ump is saying the ball landed on the edge of the pitch, so seems fair. They check for the no-ball too because if the ball lands outside the pitch it will be a no ball. Just fine on that count ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.5," Akash Deep to Shivam Dube, 1 run, shortish and on the leg stump, Dube mistimes the pull, the ball rolls to short fine leg off the glove ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.5," Akash Deep to Shivam Dube, wide, fired down leg trying the yorker ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.4," Akash Deep to Shivam Dube, SIX, this is getting out of control for RCB. High full toss, Dube's eyes lit up. He had to reach out a bit but timed it so sweetly and smashed it over point. Siraj puts his arm over Akash Deep's shoulder for some words ",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
17.3,"Akash Deep to Shivam Dube, 2 runs, top edgeeee, clears DK and short third man. Oh could have been a runout at the striker's end but they miss. The bowler ran to the stumps but didn't collect the ball before breaking the stumps",1st Inns,22n,Chennai Super Kings,Royal Challengers Bangalore,"Chennai Super Kings (Playing XI): Robin Uthappa, Ruturaj Gaikwad, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwayne Bravo, Chris Jordan, Maheesh Theekshana, Mukesh Choudhary","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Dinesh Karthik(w), Shahbaz Ahmed, Wanindu Hasaranga, Josh Hazlewood, Mohammed Siraj, Suyash Prabhudessai, Akash Deep",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 12,2022",Royal Challengers Bangalore have won the toss and have opted to field,Chennai Super Kings won by 23 runs,Shivam Dube,RCB,field
