ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
18.3," Russell to Tilak Varma, no run, short down leg, Tilak Varma pulls and misses, Billings appeals for a caught behind but nothing given. Flies over the bat ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma, Russell,0,0,Short
18.2," Russell to Suryakumar Yadav, 1 run, right in the blockhole, Suryakumar Yadav does well to dig it out outside leg and takes the single to fine-leg ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Russell,1,0,
18.1," Russell to Suryakumar Yadav, FOUR, terrific fifty for Suryakumar Yadav. He is turning it on now. Width outside off, short of length and Suryakumar Yadav cuts up and over short third man's head ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Russell,4,0,Short
17.6," Narine to Suryakumar Yadav, leg byes, 1 run, given as legbyes, tossed up outside off, Suryakumar Yadav slogsweeps and misses, did it brush the arm of Surya? Billings can't collect and they take a legbye ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Narine,byes,1,Full toss
17.5," Narine to Suryakumar Yadav, FOUR, top batting. Fraction short outside off, Suryakumar Yadav rocks back and cuts late, wide of backward point and places it wide of the sweeper too ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Narine,4,0,Short
17.4," Narine to Tilak Varma, 1 run, on a length and drifting in, Tilak Varma heaves but it is mistimed, falls in front of deep mid-wicket who did not go for the catch ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma, Narine,1,0,Good
17.3," Narine to Suryakumar Yadav, 1 run, thrown wide outside off, had Suryakumar Yadav left it, could've got a wide, under-edges the cut wide of short third ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Narine,1,0,Short
17.2," Narine to Suryakumar Yadav, SIX, the sound of the bat! Just wow! Breathtaking. Full and in the slot outside off, Suryakumar Yadav slogsweeps miles over mid-wicket, Rohit is happy and taps Shane Bond's legs in joy ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Narine,6,0,Full
17.1," Narine to Tilak Varma, 1 run, angled in, as Tilak Varma backs away outside leg, on a length, heaved away to long-on ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Tilak Varma, Narine,1,0,Good
16.6," Chakaravarthy to Suryakumar Yadav, FOUR, big over for MI. Length ball outside off, Suryakumar Yadav sits and paddles it powerfully over short fine's head. A bit too predictable from Chakaravarthy and Suryakumar Yadav takes full toll. 17 off the last over from Chakaravarthy ",1st Inns,14t,Kolkata Knight Riders,Mumbai Indians,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Shreyas Iyer(c), Sam Billings(w), Nitish Rana, Andre Russell, Sunil Narine, Pat Cummins, Umesh Yadav, Rasikh Salam, Varun Chakaravarthy","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Dewald Brevis, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 06,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 5 wkts,Pat Cummins,KKR,field,MI,KKR,Suryakumar Yadav, Chakaravarthy,4,0,Good
