ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss
 16.4 ," Shami to Washington Sundar, 1 run, good stop by Dayal at short third man. Shami fires in the low full-toss outside off, Washington Sundar guides it to the right of Dayal who dives to keep it to a single ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 16.3 ," Shami to Pooran, out Caught by Shubman Gill!! Straight to long-on. Was there in the slot but Pooran did not get the elevation to clear Gill. The openers takes it reverse-cupped. And a weird clapping celebration from Shami with a smile on his face. Big wicket for Pooran could've unleashed carnage at the end. Pooran c Shubman Gill b Shami 3(5) ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 16.2 ," Shami to Markram, 1 run, low full-toss on off, Markram drives to long-off ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 16.1 ," Shami to Pooran, 1 run, full from round the wicket, on off, Pooran drives square of the wicket on the off-side ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.6 ," Alzarri Joseph to Markram, 2 runs, low full-toss tailing in on the pads, flicked to the left of deep square for a couple ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.5 ," Alzarri Joseph to Pooran, 1 run, slower delivery on the stumps, Pooran defends wide of cover for an easy single ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.4 ," Alzarri Joseph to Markram, 1 run, low full-toss tailing back in, Markram pushes it to long-on ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.3 ," Alzarri Joseph to Pooran, 1 run, full on the stumps, Pooran gets forward to push in front of mid-off for a quick single ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.2 ," Alzarri Joseph to Pooran, no run, pacey bouncer on the stumps, Pooran ducks to leave ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
 15.1 ," Alzarri Joseph to Abhishek Sharma, out Bowled!! Inside-edge and gone. The slower off-cutter on a fuller length on off, Abhishek Sharma goes for a big slog but drags it back on. Some respite for GT. End of a fine knock from the youngster. Abhishek Sharma b Alzarri Joseph 65(42) [4s-6 6s-3] ",SRH Inns,40t,Gujarat Titans,Sunrisers Hyderabad,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Washington Sundar, Marco Jansen, Bhuvneshwar Kumar, Umran Malik, T Natarajan",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 27,2022",Gujarat Titans have won the toss and have opted to field
