ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
18.3," Pretorius to Tilak Varma, 3 runs, and drags it high, very high but the ball lands well short of the man at deep mid who came charging in. But the ball evaded him and went away for the batters to run a triple. Fifty for Tilak Varma. He has waged a lone battle in these end overs ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
18.2," Pretorius to Tilak Varma, no run, slower delivery, outside off, Tilak Varma looks to kneel down and slogs but misses ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
18.1," Pretorius to Tilak Varma, SIX, hangs back deep in his crease and lofts it over long-off for a sixer. Got under the ball and then muscled it with enough power ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.6,"Dwayne Bravo to Tilak Varma, 1 run, almost a tossed up delivery, Tilak Varma waits on it too much and drags it down to long-on for a single",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.5," Dwayne Bravo to Tilak Varma, FOUR, short ball, down leg, Tilak Varma gets bat on it and pulls it down fine to fine leg for a four ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.4," Dwayne Bravo to Tilak Varma, no run, another slower delivery which grips and rips away from the southpaw. The batter went for the reverse hack and misses. Might have got a little edge but the ball landed well short of Dhoni, who was diving forward ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.3," Dwayne Bravo to Unadkat, 1 run, gets that away into the off-side for a single to get off the mark ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.2," Dwayne Bravo to Daniel Sams, out Lbw!! Bravo's deception is still an art in this format. He has aged like a fine wine. That dipped, the batter never picked it up and was too late to pick it up. Superb stuff from the pacer. His tally of wickets in this edition also continue to rack up. CSK chipping away with crucial strikes. Daniel Sams lbw b Dwayne Bravo 5(3) [4s-1] ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
17.1," Dwayne Bravo to Tilak Varma, 1 run, sweeps a pacer as that was an off-paced delivery on the pads for a single to long leg. Didn't time it ",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
16.6,"M Theekshana to Tilak Varma, 1 run, flatter delivery, Tilak Varma hangs back and punches it down to long-off for a single",MI Inns,33r,Mumbai Indians,Chennai Super Kings,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Dewald Brevis, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Daniel Sams, Hrithik Shokeen, Riley Meredith, Jaydev Unadkat, Jasprit Bumrah","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Ambati Rayudu, Shivam Dube, Ravindra Jadeja(c), MS Dhoni(w), Dwaine Pretorius, Dwayne Bravo, Mitchell Santner, Maheesh Theekshana, Mukesh Choudhary",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 21,2022",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 3 wkts,Mukesh Choudhary,CSK,field
