ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
18.2," Bumrah to Hetmyer, out Caught by Tilak Varma!! Full toss, whipped away but taken at deep mid-wicket. Hetmyer is livid he has found the fielder. Very good cameo from Hetmyer. Gave those extra 10 runs with his assault on Pollard. Hetmyer c Tilak Varma b Bumrah 35(14) [4s-3 6s-3] ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
18.1," Bumrah to Buttler, 1 run, Buttler had to wait for DRS to be over to celebrate his second IPL hundred in what is his 300th T20 game. Bumrah went for the yorker but bowled a low full toss, Buttler swung and got an inside edge onto pad. Bumrah missed the edge and appealed for LBW. The ball rolled to mid-wicket. Replay picked up the edge to give the run to the batter. What a knock from Jos ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.6," Tymal Mills to Buttler, 1 run, fullish delivery outside off stump, Buttler mistimes the drive to mid-off. Just a run and retains strike on 99 ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.5," Tymal Mills to Buttler, no run, round the wicket and slower ball wide yorker, Buttler plays and misses. Buttler asks for a wide but it's not a wide Jos ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.4," Tymal Mills to Hetmyer, 1 run, bit of a leading edge on this nudge and it flies to long-off ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.3," Tymal Mills to Hetmyer, FOUR, this is top-class batting. No third man or no deep backward point. So he doesn't try to overhit this short ball, just waits and guides it past point and gets four more ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.2," Tymal Mills to Hetmyer, no run, big relief for Hetmyer. Poor call from umpire Nitin Menon. Hetmyer moved across and tried to scoop, but Tymal Mills took pace off and deceived him in the air, Hetmyer was falling over and missed the shot, impact seemed to be just outside off stump real-time. Buttler rightly asked him to review and they got it overturned ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
17.1," Tymal Mills to Hetmyer, SIX, he retained strike and smacks the first ball for six over mid-wicket. Full delivery in the slot, front leg out of the way and baaang, over mid-wicket ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
16.6," Pollard to Hetmyer, 1 run, oh on-drive straight at the non-striker. Buttler had to duck to save his head. Hetmyer stole the show this over that you almost forgot Buttler is on 98 at the other end ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
16.5," Pollard to Hetmyer, leg byes, FOUR, another leg-side ball, Hetmyer swings to pull, but misses. The ball escapes off the thigh pad and beats Ishan Kishan's dive. Four leg byes! ",1st Inns,9th,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Anmolpreet Singh, Tilak Varma, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Jasprit Bumrah, Tymal Mills, Basil Thampi","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Navdeep Saini, Trent Boult, Yuzvendra Chahal, Prasidh Krishna",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 02,2022",Mumbai Indians have won the toss and have opted to field,Rajasthan Royals won by 23 runs,Jos Buttler,MI,field
