ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
18.2," Bhuvneshwar to Warner, 1 run, too full on the stumps, Warner jams the drive wide of deep mid-wicket ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
18.1," Bhuvneshwar to Warner, FOUR, that's going straight into the REELS. Quite an innovative stroke from the pocket rocket. So Warner reversed his stance trying to target the mid-wicket region perhaps, got into a bit of tangle as the ball was too full wide of leg-stump. He managed to get his bat down in time and helped it off the full face of the bat fine of third man ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.6," Kartik Tyagi to Powell, no run, bowls the pacy bumper outside off and Powell can't lay bat on ball. Despite a six, this has been such an excellent over from Kartik Tyagi. ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.5," Kartik Tyagi to Powell, SIX, that hung in the air for a long, long time only to tease the wide long-on fielder. Powell put every ounce of his energy into his mistimed pull and it kept sailing over the outstretched right hand of Markram near the edge of mid-wicket boundary ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.4," Kartik Tyagi to Warner, 1 run, 142ks too full outside off, Warner squeezes it off the toe-end towards long-on. Calls for two but they will have to settle for a single ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.3," Kartik Tyagi to Warner, no run, another dot! Pins the yorker wide of off at 143ks, Warner can't get under that ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.3," Kartik Tyagi to Warner, wide, in the process of bowling outside off Kartik Tyagi sprays this 142ks well outside the tramline, Warner looks to reach out and falls flat in the process... ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.2," Kartik Tyagi to Warner, no run, 145ks fuller delivery angling away from the left-hander, Warner got down on one knee trying to slog over mid-wicket and gets beaten for pace ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
17.1," Kartik Tyagi to Powell, 1 run, full on off-stump, Powell clubs it off the cue end and it drops as a half-volley in front of the diving long-on fielder to his right ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
16.6," Abbott to Warner, no run, goes for the slower ball bumper outside off and Warner fails to connect the ramp. Got done for lack of pace there ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
16.5," Abbott to Warner, FOUR, blimey! That was hit with some power. Offered length outside off, Warner clears the front leg and smacks it straight to the right of the bowler. Abbott tries to get some hand on it and takes a blow in the process. Plenty of might and the fielder at long-off can't get around... ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
16.4," Abbott to Powell, 1 run, 143ks full on the stumps, Powell powers it off the toe-end down to long-on ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
16.3," Abbott to Powell, SIX, Abbott goes for the change of pace but there is no change in result. Bowls it short and there's ample room outside off for Powell to dispatch that for an 83-metre maximum over wide long-on ",1st Inns,50t,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): David Warner, Mandeep Singh, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Ripal Patel, Shardul Thakur, Kuldeep Yadav, Khaleel Ahmed, Anrich Nortje","Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Shashank Singh, Shreyas Gopal, Bhuvneshwar Kumar, Sean Abbott, Kartik Tyagi, Umran Malik",,,IPL,2022,"Brabourne Stadium,Mumbai","May 05,2022",Sunrisers Hyderabad have won the toss and have opted to field,Delhi Capitals won by 21 runs,David Warner,SRH,field,DC,SRH
