ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type,match_id
18.2," Khaleel Ahmed to Vaibhav Arora, no run, off-cutter on a good length and sliding across Vaibhav Arora who tries to guide and misses ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Vaibhav Arora, Khaleel Ahmed,0,0,Good,,,beaten,,,202232
18.1," Khaleel Ahmed to Vaibhav Arora, no run, full just outside off, Vaibhav Arora drives and misses, not far from off-stump ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Vaibhav Arora, Khaleel Ahmed,0,0,Full,off side,,beaten,,,202232
17.6," Lalit Yadav to Arshdeep Singh, no run, flat on off from round the wicket, hit back to Lalit Yadav ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Lalit Yadav,0,0,,off side,,,,,202232
17.5," Lalit Yadav to Vaibhav Arora, 1 run, flicked to deep mid-wicket and Vaibhav Arora is off the mark ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Vaibhav Arora, Lalit Yadav,1,0,,,mid-wicket,flick shot,,,202232
17.4," Lalit Yadav to Rahul Chahar, out Caught by Powell!! Swept straight to the bucket hands of deep backward square. Flat and full on middle, pushed through from the front of the hand, Rahul Chahar sweeps but gets a bit of a top-edge, comfortable catch for the West Indian. Rahul Chahar c Powell b Lalit Yadav 12(12) [4s-1 6s-1] ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Rahul Chahar, Lalit Yadav,out,out,Full,stump line,straight,edge,,"Catch out , powell",202232
17.3,"Lalit Yadav to Rahul Chahar, no run, tossed up a bit, Rahul Chahar comes down the track and like Ravi Shastri in the good olden days, defends forward",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Rahul Chahar,Lalit Yadav,0,0,Full toss,,,defend,,,202232
17.2," Lalit Yadav to Rahul Chahar, no run, speared in on the stumps, pushed back to Lalit Yadav, was in the air for a bit ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Rahul Chahar, Lalit Yadav,0,0,,stump line,,push shot,,,202232
17.1," Lalit Yadav to Rahul Chahar, FOUR, short and wide outside off, Rahul Chahar cuts hard and beats Sarfaraz at sweeper for pace. Lalit Yadav has been with a thunderous face by Pant as he complains about the fielding. Clearly the DC skipper is not happy ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Rahul Chahar, Lalit Yadav,4,0,Short,wide,sweeper,cut shot,,,202232
16.6," Mustafizur to Arshdeep Singh, no run, yorker on the stumps, Arshdeep Singh backs away and digs it out off a thick inside-edge behind square ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Arshdeep Singh, Mustafizur,0,0,yorker,stump line,square,edge,,,202232
16.5," Mustafizur to Rahul Chahar, 1 run, back of a length on the stumps, Rahul Chahar opens the face of the bat and runs it down to third man ",1st Inns,32nd,Delhi Capitals,Punjab Kings,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Sarfaraz Khan, Shardul Thakur, Axar Patel, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Jonny Bairstow, Liam Livingstone, Jitesh Sharma(w), Shahrukh Khan, Kagiso Rabada, Nathan Ellis, Rahul Chahar, Vaibhav Arora, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 20,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 9 wkts,Kuldeep Yadav,DC,field,PBKS,DC,Rahul Chahar, Mustafizur,1,0,Back of Length,stump line,third man,,,,202232
