ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line
17.6," Lungi Ngidi to Nair, 1 run, 4-1-10-4, the figures of Ngidi. What a match defining spell this has been. Nair knocks it down to long-on and retains strike ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,1,0,,
17.5," Lungi Ngidi to Mohit Sharma, 1 run, single to get off the mark, on a length outside off and Sharma fends it in front of cover-point to scamper across ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,1,0,Good,off side
17.4," Lungi Ngidi to Mohit Sharma, no run, back of a length outside off, Sharma punches it to point ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,0,0,Back of Length,off side
17.3," Lungi Ngidi to Andrew Tye, out Caught by Raina!! Another one for Ngidi. He's taking down Punjab single handedly tonight. Got Rahul and Gayle earlier, gets Ashwin and Tye now. This was short of a length around off, Tye tried to punch it off his back foot but his bottom hand came off and he ended up miscuing it to mid-off. Can't get any easier for Raina! Andrew Tye c Raina b Lungi Ngidi 0(2) ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,out,out,Short,
17.2," Lungi Ngidi to Andrew Tye, no run, low full toss around off, Tye does well to dig that out in time ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,0,0,Full,
17.1,"Lungi Ngidi to Ashwin, out Caught by Dhoni!! Full marks to the bowler there. He was sure that the batsman had nicked it and Ashwin has to walk back for a golden duck. Short delivery outside off, Ashwin tries to run it down to third man but gets a slight feather on its way to the keeper. Even he wasn't sure that if had nicked it. UltraEdge confirms with a spike! Ashwin c Dhoni b Lungi Ngidi 0(1)",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,out,out,Full,off side
17.1," Lungi Ngidi to Ashwin, wide, short one but down the leg side, Ashwin tries to flick it away but misses ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,wide,1,Short,wide
16.6," SN Thakur to Nair, FOUR, 18 runs off the over! Just what the doctor ordered for Punjab. This was full and outside off, Nair threw his bat at it and got an outside edge that eluded Dhoni and found the fence ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,4,0,Full,off side
16.6," SN Thakur to Nair, wide, pressure on the bowler! Short and way outside off, Nair leaves it for the keeper ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,wide,1,Short,wide
16.5," SN Thakur to Nair, SIX, shot! This is what KXIP exactly want. Short again on middle and leg, Nair stays in his crease and swings it over square leg. Way into the stands, such sweet was the timing ",1st Inns,56t,Chennai Super Kings,Kings XI Punjab,"Chennai Super Kings (Playing XI): Faf du Plessis, Ambati Rayudu, Suresh Raina, MS Dhoni(w/c), Sam Billings, Dwayne Bravo, Ravindra Jadeja, Harbhajan Singh, Shardul Thakur, Deepak Chahar, Lungi Ngidi","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Aaron Finch, David Miller, Karun Nair, Manoj Tiwary, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Mohit Sharma, Ankit Rajpoot",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 20,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 5 wkts,Lungi Ngidi,CSK,field,PBKS,CSK,6,0,Short,stump line
