ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
18.2," Rajpoot to Shreyas Gopal, no run, a full and fast delivery outside off, Gopal throws his bat at it but gets beaten due to the pacy delivery ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Shreyas Gopal, Rajpoot
18.1," Rajpoot to Unadkat, 1 run, short and wide outside off, slapped to cover by Unadkat for a single ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Unadkat, Rajpoot
17.6," Andrew Tye to Shreyas Gopal, FOUR, that shot was all about timing. How quickly it ran away to the fence, quite surprising. A low full toss on leg and Gopal times his on-drive. Mayank at long-on tried hard to cut this down but couldn't stop the boundary ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Shreyas Gopal, Andrew Tye
17.5," Andrew Tye to Unadkat, 1 run, slower delivery at 114.3 kph, Unadkat picks it up early and drives it away to sweeper cover ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Unadkat, Andrew Tye
17.4," Andrew Tye to Shreyas Gopal, 1 run, short and slow on middle and leg, Gopal tucks it away to deep mid-wicket and manages to get a single ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Shreyas Gopal, Andrew Tye
17.3," Andrew Tye to Unadkat, 1 run, that's a stylish shot by Unadkat. Full around off and the batsman goes down on his knee to chip it to sweeper cover. Gopal wanted the second too but Unadkat wasn't ready for it, sends him back and rightly so ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Unadkat, Andrew Tye
17.2," Andrew Tye to Shreyas Gopal, 1 run, another slower delivery on middle and leg, Gopal flicks it away to wide long-on and takes a single ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Shreyas Gopal, Andrew Tye
17.1," Andrew Tye to R Tripathi, out Caught by Ashwin!! Punjab continue to chip at the wickets. It was the slower delivery this time around. Full without much pace in it, Tripathi lofts it but is too early in his shot. The ball spoons up to wide mid-off where Ashwin completes a safe catch. Can Punjab clean up Rajasthan's tail? Or will we get to see a fight from the Royals? R Tripathi c Ashwin b Andrew Tye 11(13) [4s-1] ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,R Tripathi, Andrew Tye
16.6," Axar to R Tripathi, 1 run, quicker delivery around off as Tripathi knocks it down to long-off and retains strike with a single ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,R Tripathi, Axar
16.5," Axar to Shreyas Gopal, 1 run, comes down the wicket and flicks it away to deep mid-wicket ",1st Inns,38t,Kings XI Punjab,Rajasthan Royals,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Karun Nair, Mayank Agarwal, Marcus Stoinis, Manoj Tiwary, Ravichandran Ashwin(c), Axar Patel, Mujeeb Ur Rahman, Ankit Rajpoot, Andrew Tye","Rajasthan Royals (Playing XI): Jos Buttler(w), D Arcy Short, Ajinkya Rahane(c), Sanju Samson, Ben Stokes, Rahul Tripathi, Krishnappa Gowtham, Jofra Archer, Shreyas Gopal, Anureet Singh, Jaydev Unadkat",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 06,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 6 wkts,Mujeeb Ur Rahman,PBKS,field,RR,PBKS,Shreyas Gopal, Axar
