ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
18.2," Unadkat to Saha, 2 runs, sloppy from Archer. Wild throw at the bowler's end, Unadkat wasn't aware of it and they sneak an extra run. Another slower ball outside off, steered down towards third man. Should have been just a single ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,2,0,,off side,third man,,Saha, Unadkat,
18.1," Unadkat to Manish Pandey, 1 run, sees Pandey giving the charge, does Unadkat and slows it down on a shorter length. No room to work with either and it's dragged down to long-on. Just a single ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,Short,,long-on,,Manish Pandey, Unadkat,
17.6," Jofra Archer to Y Pathan, out Caught by D Kulkarni!! Double strike from Archer! He turned it on at the death against the Mumbai Indians and is at it here as well. What a boost RR have got with his inclusion! Terrific death bowler and this over has been further proof of it. Pacy short ball and although it was a tad wide, Pathan was in no position to play it. Ends up trying to just guide it. Flies straight to the fielder stationed at third man. Y Pathan c D Kulkarni b Jofra Archer 2(3) ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,out,out,Short,wide,straight,,Y Pathan, Jofra Archer,"Catch out , d kulkarni"
17.5," Jofra Archer to Manish Pandey, 1 run, another perfect yorker on off stump, nothing much Pandey can do except jam this towards cover ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,yorker,off side,cover,,Manish Pandey, Jofra Archer,
17.4," Jofra Archer to Y Pathan, 1 run, very full and a hint of tail into Pathan who wrists it away towards deep mid-wicket ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,Full,,mid-wicket,,Y Pathan, Jofra Archer,
17.3," Jofra Archer to Manish Pandey, 1 run, another slower ball on a shortish length, Pandey is cramped and he swivels to pull this to deep square leg ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,Short,,deep square,pull shot,Manish Pandey, Jofra Archer,
17.2," Jofra Archer to Y Pathan, 1 run, slower bal outside off, shortish and dabbed towards point for a quick single ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,1,0,Short,off side,point,dab,Y Pathan, Jofra Archer,
17.1," Jofra Archer to Shakib, out Bowled!! Cleans him up! Excellent yorker from Archer and that's the end of Shakib. This was on the base of off stump and although the southpaw could see it coming, he was beaten for pace. Ended up just brushing the off bails. Fantastic comeback from RR, they are dragging things back in spectacular fashion here. Archer was unlucky not to get Williamson earlier with a yorker and was even unfortunate that a catch was put down as well of the Kiwi. Not this time. Shakib b Jofra Archer 6(6) [4s-1] ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,out,out,yorker,off side,,beaten,Shakib, Jofra Archer,bowled
16.6," Stokes to Manish Pandey, no run, better from Stokes, more of the areas he needs to hit with this field set. Back of a length angling into Pandey who makes room but is still cramped for room. Tries to swing across the line but he ain't connecting that length. Despite the boundary, just 7 off the over. RR will take it ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,0,0,Back of Length,,,ramp shot,Manish Pandey, Stokes,
16.5," Stokes to Manish Pandey, no run, the change up, takes pace off and keeps it just outside off. Pandey backed away to slap this but straight to cover ",1st Inns,28t,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), Rahul Tripathi, Sanju Samson, Ben Stokes, Jos Buttler(w), Krishnappa Gowtham, Jofra Archer, Mahipal Lomror, Jaydev Unadkat, Dhawal Kulkarni, Ish Sodhi","Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Alex Hales, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Wriddhiman Saha(w), Rashid Khan, Basil Thampi, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 29,2018",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 11 runs,Kane Williamson,SRH,bat,SRH,RR,0,0,,off side,straight,,Manish Pandey, Stokes,
