ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
16.2,"Chris Morris to Tripathi, 1 run, length delivery outside off, Tripathi reaches out for it, loses his shape, and gets an outside edge away to third man for a single",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi,Chris Morris
16.1,"Chris Morris to Tripathi, SIX, length ball angling into middle, Tripathi lays into that slog-sweep on the up and sends that into the deep mid-wicket orbit for six! Boult takes a phenomenal catch there -- leaping and reverse-cupped -- but the momentum has him going over the ropes",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi,Chris Morris
15.6," Rahul Tewatia to Buttler, 2 runs, full one on middle and leg, the closest he has gotten to off-stump all over, Buttler whip-drives it down to long-on for a couple ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Buttler, Rahul Tewatia
15.6," Rahul Tewatia to Buttler, wide, seems to be in the zone but the wrong one, Tewatia. Fired down leg, wided ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Buttler, Rahul Tewatia
15.5," Rahul Tewatia to Tripathi, 1 run, another flat one, wrong trajectory, terrible line, and another hard sweep away to fine leg for a single ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi, Rahul Tewatia
15.4," Rahul Tewatia to Tripathi, no run, loopy delivery on leg, Tripathi swipes-sweeps it towards short fine leg ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi, Rahul Tewatia
15.3," Rahul Tewatia to Tripathi, 2 runs, flat one again and angling away towards leg, Tripathi just deflects it with a hybrid pull/tap-on-the-head for another quick couple ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi, Rahul Tewatia
15.2," Rahul Tewatia to Tripathi, 2 runs, fired in flat and angling into the pads, Tripathi gets on his knees and slap-sweeps it to fine leg for a brace ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Tripathi, Rahul Tewatia
15.1," Rahul Tewatia to Buttler, 1 run, comes down the track already, shortens the length on leg stump, Buttler adjusts his shot and taps it to mid-on for a single ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Buttler, Rahul Tewatia
14.6," Shami to Buttler, 1 run, almost another inch-perfect yorker, Buttler makes room and whip-drives it away to long-on for a single. Jeez the toes of these two bats have taken a severe beating ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,Buttler, Shami
