ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
18.2," SN Thakur to Manish Pandey, no run, smartly done by Thakur. Bangs the turf hard, gets it to rise at Pandey, who went for the pull and missed ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,0,0,,,,beaten
18.1," SN Thakur to Manish Pandey, 2 runs, the ball is following Jaddu wherever he goes today. Short outside off, Pandey smacks it to the right of sweeper cover, two stolen ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,2,0,Short,off side,sweeper,
17.6," Dwayne Bravo to Manish Pandey, 1 run, slower ball, full on middle. Shaved off the pads to deep mid-wicket ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,Full,stump line,mid-wicket,
17.5," Dwayne Bravo to Deepak Hooda, 1 run, this time they will settle for a single. Nudged softly to mid-wicket ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,,,mid-wicket,
17.4," Dwayne Bravo to Deepak Hooda, 2 runs, this is clever batting from Hooda. Just places this full ball into the gap in the leg-side and gets a brace again ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,2,0,Full,,,
17.3," Dwayne Bravo to Deepak Hooda, 2 runs, clipped away through mid-wicket and they race back for the second ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,2,0,,,mid-wicket,
17.2," Dwayne Bravo to Deepak Hooda, no run, Hooda has been given out LBW, he has a word with his partner and decides to review. Bravo's foot is way behind the line, so no problems with the no-ball. Moving on, looks like no bat as well. Ultra-Edge confirms it. HawkEye in - Pitching - In-line. Impact - In-line. Wickets - missing. Superb review from Hooda. It was full and spearing in, Hooda was shuffling across and misses the clip. Is thudded low on the pad, the on-field call was OUT and Hooda challenged it. Gets the decision in his favour in the end with the ball missing the leg-stump ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,0,0,Full,stump line,,edge
17.2," Dwayne Bravo to Deepak Hooda, wide, Bravo loses his line and sprays it down leg ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,wide,1,,wide,,wide
17.1," Dwayne Bravo to Deepak Hooda, 2 runs, slower delivery bowled fuller on off, Hooda gently taps it towards long-off. They run hard, take on Billing's arm and makes it in the end. A direct-hit at the bowler's end would've been interesting ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,2,0,Full,off side,long-off,
16.6," SN Thakur to Deepak Hooda, 1 run, sliding on middle and leg, picked away in front of square on the leg-side ",1st Inns,46t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Sam Billings, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, David Willey, Harbhajan Singh, Deepak Chahar, Shardul Thakur","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Deepak Hooda, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","May 13,2018",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 8 wkts,Ambati Rayudu,CSK,field,SRH,CSK,1,0,,stump line,square,
