ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra
18.5," Tom Curran to Buttler, 2 runs, wide slower delivery outside off, made Buttler reach out, forehanded by Buttler wide of long-off and comes back for two ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,2,0
18.4," Tom Curran to D Kulkarni, 1 run, swinging low full-toss, Kulkarni drives to sweeper cover ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,1,0
18.4," Tom Curran to Buttler, no ball, 1 run, Buttler missed out on the no-ball call. Just over too. Right call from umpire Abhijit Deshmukh. Full on off, driven to long-off ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,no ball,1
18.3," Tom Curran to D Kulkarni, 1 run, no hat-trick. Kulkarni uses Tom Curran's pace and opens the face of the bat to run the length delivery to third man ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,1,0
18.2," Tom Curran to Shreyas Gopal, out Bowled!! Both Karnataka men gone in consecutive balls. To Tom Curran. He takes off his aeroplane and Mitch Johnson is seen clapping from the dugout. Pacy length delivery, on off, Shreyas Gopal was late on the defence and it knocked the stump out of the ground. Played a bit inside the line and had no footwork to deal with that sharp delivery. Tom Curran is now on a hat-trick. Shreyas Gopal b Tom Curran 0(1) ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,out,out
18.1," Tom Curran to Gowtham, out Caught by Shivam Mavi!! Easy for backward point. Back of the hand slower delivery, Tom Curran bowls that well. He is so confident with that delivery that he regularly and surprisingly bowled it in the Ashes Test. To not great effect it must be said. But here he gets Gowtham slicing it off a thick outside edge and grabs a wicket. Gowtham c Shivam Mavi b Tom Curran 12(7) [6s-1] ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,out,out
17.6," Narine to Buttler, FOUR, brutal. Fraction short and that's enough for Buttler, who marmalises the back foot forcing shot. Long-off wasn't even in the picture. A rare off night for Narine ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,4,0
17.5," Narine to Gowtham, 3 runs, poor effort by Chawla at short fine leg. He didn't account for the spin away and lets it go. One becomes three. A thick inside edge on the heave, Chawla charged forward and the spin beat him ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,3,0
17.4," Narine to Gowtham, no run, slogs blindly and misses this offie, was looking at mid-wicket ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,0,0
17.3," Narine to Gowtham, SIX, can Gill get there? He can but can only parry it over the ropes. Good effort from him running to his left at long-off. Not easy at all as Gowtham lofted it superbly after using his feet. Had enough to get it over the left-hand of the diving fielder ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,6,0
17.2," Narine to Buttler, 1 run, mistimes the big cut, but manages a single wide of cover ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,1,0
17.1," Narine to Buttler, no run, fired the offie into the pads, Buttler misses out on the flick. Sliding down ",1st Inns,15t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson(w), Ben Stokes, Jos Buttler, Rahul Tripathi, Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Kolkata Knight Riders (Playing XI): Chris Lynn, Sunil Narine, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 18,2018",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Nitish Rana,KKR,field,RR,KKR,0,0
