ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
18.3," Dwayne Bravo to Priyam Garg, 1 run, fuller length delivery outside off, driven straight to the fielder at extra-cover and it's just a single for Garg ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Dwayne Bravo,1,0,Full,off side,straight
18.2," Dwayne Bravo to Priyam Garg, 2 runs, excellent running from Garg - low full-toss outside off and he scythed the drive behind square on the off-side, his call for the second and he races home. The throw from the deep isn't great either ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Dwayne Bravo,2,0,Full toss,off side,square
18.1," Dwayne Bravo to Priyam Garg, FOUR, Garg continues to ooze class - knew that Bravo would be bowling a slower ball, went right across on the paddle sweep and clears backward square leg. MS isn't looking all that impressed ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Dwayne Bravo,4,0,,stump line,square leg
17.6," Chahar to Abhishek Sharma, out Caught by Dhoni!! Abhishek's fun-filled innings is over, but he has done his job. Banged in short and angling across the left-hander, the attempted slower bouncer from Chahar - Abhishek was looking to nail the pull wide of mid-wicket, gets an audible edge and MS does the rest. Abhishek Sharma c Dhoni b Chahar 31(24) [4s-4 6s-1] ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abhishek Sharma, Chahar,out,out,Short,wide,mid-wicket
17.5," Chahar to Priyam Garg, 1 run, slower short ball outside off, dabbed straight to backward point for a single ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Chahar,1,0,Short,off side,straight
17.4," Chahar to Priyam Garg, FOUR, top-edge and four, banged in short and just outside off, Garg was a tad late on the pull, the ball caught the fat top-edge and lobbed over MS for another boundary ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Chahar,4,0,Short,off side,
17.3,"Chahar to Priyam Garg, 2 runs, full and at the stumps, clipped away behind square on the on-side and Garg rushes back for the second",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg,Chahar,2,0,Full,stump line,square
17.3," Chahar to Priyam Garg, wide, slower short ball from Chahar, but it slips down leg, called as a wide ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Priyam Garg, Chahar,wide,1,Short,wide,
17.2," Chahar to Abhishek Sharma, 1 run, another chance and Shardul has put down a sitter - butter fingers all of a sudden from CSK, on a good length and angling across the left-hander, Abhishek was looking to go inside out over cover - the bat-face turned on impact and he carved it over point - Shardul had plenty of time on the ball and somehow makes a mess of it ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abhishek Sharma, Chahar,1,0,Good,,cover
17.1," Chahar to Abhishek Sharma, FOUR, chance and dropped - and it's by RJ of all people - length ball outside off and Sharma swiped it over square leg. RJ ran across to his left, got there with plenty of time, got both hands and then let the ball burst through - to add insult to injury, it dribbled over the ropes ",1st Inns,14t,Chennai Super Kings,Sunrisers Hyderabad,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Faf du Plessis, Kedar Jadhav, MS Dhoni(w/c), Dwayne Bravo, Ravindra Jadeja, Sam Curran, Shardul Thakur, Piyush Chawla, Deepak Chahar","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Manish Pandey, Kane Williamson, Abdul Samad, Abhishek Sharma, Priyam Garg, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 02,2020",Sunrisers Hyderabad have won the toss and have opted to bat,Sunrisers Hyderabad won by 7 runs,Priyam Garg,SRH,bat,SRH,CSK,Abhishek Sharma, Chahar,4,0,Good,off side,square leg
