ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,Toss_winner,toss_chosen,Batsman,Bowler,runs,extra
18.3," Jamieson to Krunal Pandya, no ball, FOUR, short and on the stumps, Pandya pulls, not from the middle of the bat, but in the gap between deep backward square leg and deep mid-wicket. Oh he's overstepped. Will be a free-hit ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Krunal Pandya, Jamieson,no ball,1+4
18.2," Jamieson to Pollard, 1 run, mistimed pull on the bounce to deep mid-wicket ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Pollard, Jamieson,1,0
18.1," Jamieson to Krunal Pandya, 1 run, dropped! But is Kohli okay? Looks like the ball burst through his hands and hit him on the face. Thankfully just under his right eye. Was too casual for the catch. He switches position but doesn't go off. Brings out the smile to the relief of the RCB fans. So this was a full ball in the slot, Pandya smashed it hard. Kohli moved to the left, tried to go reverse cup style and spilled the catch ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Krunal Pandya, Jamieson,1,0
17.6," Harshal Patel to Krunal Pandya, 1 run, mistimed loft rolls to long-on as Pandya plays early ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Krunal Pandya, Harshal Patel,1,0
17.5," Harshal Patel to Krunal Pandya, no run, plays early at this slower delivery and pushes towards cover ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Krunal Pandya, Harshal Patel,0,0
17.4," Harshal Patel to Ishan Kishan, out Lbw!! One of those rare errors from Nitin. He thought the ball pitched outside leg, but the replay confirms it was in line with leg stump. Kishan going too far across the line to play that stylish bottom hand whip, misses the ball completely, impact in line with middle and smashing the poles. Harshal Patel was surprised the decision wasn't given and immediately showed the thums up to his captain to say that was out. Good review from RCB. Ishan Kishan lbw b Harshal Patel 28(19) [4s-2 6s-1] ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Ishan Kishan, Harshal Patel,out,out
17.3," Harshal Patel to Ishan Kishan, 2 runs, now Siraj has dropped a sitter. Harshal Patel digs this slower ball short and into the wicket, Kishan pulls and gets a top edge, straight around hip height for Siraj at deep backward square leg but he was too soft on the hands and it popped out. Hides his face ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Ishan Kishan, Harshal Patel,2,0
17.2," Harshal Patel to Pollard, 1 run, Pollard swings hard, but swings early as Harshal Patel takes pace off. Rolls to mid-wicket ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Pollard, Harshal Patel,1,0
17.1," Harshal Patel to Pollard, no run, short of length delivery outside off stump, Pollard punches to the left of the bowler ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Pollard, Harshal Patel,0,0
16.6," Siraj to Ishan Kishan, no run, dot! The third of the over. Full and outside off stump, Kishan tries to swipe and gets an inside edge onto pad ",1st Inns,1st,Mumbai Indians,Royal Challengers Bangalore,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah","Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal",,,IPL,2021,"MA Chidambaram Stadium,Chennai","Apr 09,2021",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 2 wkts,Harshal Patel,RCB,field,Ishan Kishan, Siraj,0,0
