ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
18.3," Tom Curran to Sam Curran, wide, far too wide outside the off-stump, and that's been called a wide ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
18.2," Tom Curran to Jadeja, 1 run, very full one outside off, a wide yorker of sorts, Jadeja gets a thick inside edge past the stumps towards the on-side for a quick single ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
18.1," Tom Curran to Jadeja, FOUR, charges down the wicket to a short ball I think he anticipated, and nails it with a pull to deep mid-wicket for four! ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.6," Avesh Khan to Jadeja, 1 run, shortish, without a lot of width, Jadeja hops and slaps it away to sweeper cover for a single ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.5," Avesh Khan to Sam Curran, 1 run, very full outside off, Sam Curran drills it down to long-off for a single ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.4," Avesh Khan to Jadeja, 1 run, back of a length ball on off-stump, Jadeja drops it off the backfoot into the off-side for a sharp single ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.3," Avesh Khan to Sam Curran, 1 run, very full one on off-stump, and that's squeezed away to mid-off for a quick single ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.2,"Avesh Khan to Sam Curran, no run, slower short one angling outside off, Sam Curran is very early into the pull and he's been deceived. Through to the 'keeper",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
17.1," Avesh Khan to Jadeja, 1 run, fuller length ball on the boots, clipped away to deep mid-wicket for one ",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
16.6,"Tom Curran to Sam Curran, FOUR, poor ball, a half-volley down the leg-side and all that needed with a deflection off some part of the bat - Sam Curran gets that, and it's raced away to the fine leg fence for four",1st Inns,2nd,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Moeen Ali, Ravindra Jadeja, Sam Curran, Dwayne Bravo, Shardul Thakur, Deepak Chahar","Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Ajinkya Rahane, Rishabh Pant(w/c), Marcus Stoinis, Shimron Hetmyer, Chris Woakes, Ravichandran Ashwin, Tom Curran, Amit Mishra, Avesh Khan",,,IPL,2021,"Wankhede Stadium,Mumbai","Apr 10,2021",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 7 wkts,Shikhar Dhawan,DC,field,CSK,DC
