ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
17.1," Harpreet Brar to Rossouw, FOUR, Brar tries the full wide one again, Rossouw stays deep and cuts it behind square on the off side. In the gap for four... ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,4,0
16.6," Nathan Ellis to Philip Salt, no run, full outside off, pace off once again. A swing and a miss for Salt. DC review this for wide, but going inside the lines. Fair delivery ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Nathan Ellis,0,0
16.5," Nathan Ellis to Rossouw, 1 run, pace off and wide once again, punched down to long-off ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Nathan Ellis,1,0
16.4," Nathan Ellis to Rossouw, no run, pace off and wide outside off, Rossouw shimmied in to slog leg side but is too early on his shot. Has a laugh at missing out on a game like that... clever from Ellis ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Nathan Ellis,0,0
16.3," Nathan Ellis to Rossouw, FOUR, Ellis goes wide yorker, slightly undercooked and Rossouw hoists his drive over extra cover. One bounce and over... ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Nathan Ellis,4,0
16.2," Nathan Ellis to Rossouw, 2 runs, pace off and full outside off, Rossouw pushes towards extra cover and once again direct hit and he was gone. Dhawan misses and DC take an overthrow. That's 50 for Rossouw, first in the IPL ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Nathan Ellis,2,0
16.1," Nathan Ellis to Philip Salt, 1 run, back of length and slightly wide, punched a tad uppishly towards sweeper cover ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Nathan Ellis,1,0
15.6," Harpreet Brar to Rossouw, 2 runs, fired at the boots, Rossouw chips it towards deep mid-wicket. Runs a second trusting the arm of Shahrukh Khan and gets home easily ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,2,0
15.5," Harpreet Brar to Philip Salt, 1 run, arm ball, kept coming at Salt who awkwardly steers towards covers. The batters cross for the single and get home with no direct hit coming ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Harpreet Brar,1,0
15.4," Harpreet Brar to Rossouw, 1 run, fired full outside off, slammed to long-off ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Rossouw, Harpreet Brar,1,0
15.3," Harpreet Brar to Philip Salt, 1 run, short and keeps low this time, cut towards covers for a quick run ",1st Inns,64t,Punjab Kings,Delhi Capitals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Atharva Taide, Liam Livingstone, Jitesh Sharma(w), Sam Curran, Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Nathan Ellis, Arshdeep Singh","Delhi Capitals (Playing XI): David Warner(c), Prithvi Shaw, Philip Salt(w), Rilee Rossouw, Axar Patel, Aman Hakim Khan, Yash Dhull, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Khaleel Ahmed","PBKS Impact Subs: Prabhsimran Singh, Sikandar Raza, Matthew Short, Rishi Dhawan, Mohit Rathee","DC Impact Subs: Mukesh Kumar, Abishek Porel, Ripal Patel, Praveen Dubey, Sarfaraz Khan",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 17,2023",Punjab Kings have won the toss and have opted to field,Delhi Capitals won by 15 runs,Rilee Rossouw,PBKS,field,DC,PBKS,Philip Salt, Harpreet Brar,1,0
