ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen
18.3," Akash Madhwal to Markram, 1 run, whips the ball off the pads on to the on-side for a single as the ball angled on to the pads ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
18.2," Akash Madhwal to Klaasen, 1 run, mistimes the drive down to long-on for a single off a fuller ball ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
18.1," Akash Madhwal to Markram, 1 run, length delivery, Markram backs away and slaps it to deep cover for a single ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.6," Jordan to Klaasen, 2 runs, banged in short, down leg, Klaasen went for the pull and top-edged it. The ball landed short of the man at deep fine. The fielder managed to grab it back. They get a couple ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.5," Jordan to Markram, 1 run, whips a length delivery on to the on-side for a single. That was mistimed away on to the on-side ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.4," Jordan to Glenn Phillips, out Caught by Kartikeya!! He hasn't had a great season. Ends on a poor note as well. Was a highish full toss, Glenn Phillips whipped it off the pads but ended up finding the man at fine leg. Good take but easy one must say as he didn't have to move much to take it. MI fighting back in the death overs. Glenn Phillips c Kartikeya b Jordan 1(4) ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.3," Jordan to Klaasen, leg byes, 1 run, again cramps the batter for room. Was a length delivery angled on to the pads, Klaasen wanted to back away and reverse paddle it but failed to connect. The ball dropped into the off-side after hitting the pads of the batter ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.2," Jordan to Glenn Phillips, 1 run, length delivery, angling across, stabbed out into the off-side for a single ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
17.1," Jordan to Klaasen, 1 run, fuller ball, follows the batter and has been clipped down to deep mid for a single ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
16.6," Akash Madhwal to Glenn Phillips, no run, another dot ball. Good end to the over for MI. Was a back of a length delivery and Glenn Phillips was too late on the pull. Mistimed to the right of the bowler ",1st Inns,69t,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Chris Jordan, Piyush Chawla, Jason Behrendorff, Kumar Kartikeya, Akash Madhwal","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Vivrant Sharma, Aiden Markram(c), Heinrich Klaasen(w), Harry Brook, Nitish Reddy, Glenn Phillips, Sanvir Singh, Mayank Dagar, Bhuvneshwar Kumar, Umran Malik","MI Impact Subs: Ramandeep Singh, Vishnu Vinod. Tristan Stubbs, Tilak Varma, Sandeep Warrier","SRH Impact Subs: Mayank Markande, Abhishek Sharma, Rahul Tripathi, Akeal Hosein, Abdul Samad",IPL,2023,"Wankhede Stadium,Mumbai","May 21,2023",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 8 wkts,Cameron Green,MI,field
