ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
9.1," Rashid Khan to Riyan Parag, 2 runs, ah too short and Riyan flicks it wide of long-on, Rashid won't mind the second to have another go at Riyan ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag, Rashid Khan,2,0,Short,wide,long-on,flick shot,
8.6," Joshua Little to Riyan Parag, 1 run, calming flick as Joshua Little bowls a length ball, hit to deep mid-wicket ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag, Joshua Little,1,0,Good,undefined,mid-wicket,flick shot,
8.5," Joshua Little to Riyan Parag, no run, defended to the fielder ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag, Joshua Little,0,0,undefined,undefined,,defend,
8.4," Joshua Little to Padikkal, 1 run, good length delivery on the off stump, Padikkal looks to push away from the body, gets a thick edge that rolls to third man ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Joshua Little,1,0,Good,off side,third man,edge,
8.3," Joshua Little to Riyan Parag, 1 run, short of length delivery on the stumps, Riyan knocks it to mid-wicket ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag, Joshua Little,1,0,Short,stump line,mid-wicket,,
8.2," Joshua Little to Riyan Parag, no run, short of length delivery just outside off stump, Riyan defends off the back foot ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag, Joshua Little,0,0,Short,off side,,defend,
8.1," Joshua Little to Padikkal, 1 run, short of length delivery on the off stump, Padikkal dabs it to third man ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Joshua Little,1,0,Short,off side,third man,dab,
7.6," Rashid Khan to Ashwin, out Bowled!! Ashwin had absolutely no clue how to play Rashid Khan in that over. First missed a short ball, then missed a drive on the fuller length. Now Rashid Khan bowls on the stumps knowing Ashwin is not reading his leggies. The batter stays in the crease and tries to push it through the off-side, past the outside edge and rattling the off stump. Wonder if Ashwin was searching for that googly but Rashid never bowled that ball. Ashwin b Rashid Khan 2(6) ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Ashwin, Rashid Khan,out,out,Short,stump line,off-side,edge,bowled
7.5," Rashid Khan to Ashwin, no run, now beaten on the outside edge. Leggie fuller in length, Ashwin leans forward and tries the cover drive, misses ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Ashwin, Rashid Khan,0,0,Full,undefined,cover,edge,
7.4," Rashid Khan to Ashwin, no run, Ashwin tries to stay leg-side and try the late cut, but this keeps low and beats the bat ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Ashwin, Rashid Khan,0,0,undefined,undefined,,cut shot,
